department,id,name,prerequisite,SBC,credits
CHE: Chemistry,CHE 487, Research in Chemistry,Prerequisites: Permission of instructor and department,,0
CHE: Chemistry,CHE 488, Internship,Prerequisites: CHE 328 or 384; permission of instructor and department,,0
CHE: Chemistry,CHE 495, Senior Research,Prerequisite: U4 standing; permission of instructor and department,,3
CHE: Chemistry,CHE 496, Senior Research,Prerequisite: U4 standing; permission of instructor and department,,3
CHI: Chinese Language,CHI 101, Intensive Elementary Chinese,No prerequisite,,6
CHI: Chinese Language,CHI 111, Elementary Chinese I,No prerequisite,LANG,4
CHI: Chinese Language,CHI 112, Elementary Chinese II,Prerequisite: C or better in CHI 111 or equivalent or placement into 112. See https://llrc.stonybrook.edu/placement-exams for more information.,,4
CHI: Chinese Language,CHI 120, Elementary Chinese for Heritage Speakers,No prerequisite,,4
CHI: Chinese Language,CHI 201, Intensive Intermediate Chinese,Prerequisite: CHI 112 or CHI 120 or equivalent or proficiency in Chinese or placement into 201 or 211. See http://www.stonybrook.edu/commcms/llrc/placement_challenge_exams/placement_exam.html for more information.,,6
CHI: Chinese Language,CHI 211, Intermediate Chinese I,Prerequisite: C or better in CHI 101 or CHI 112 or CHI 120 or equivalent or proficiency in Chinese or placement into 201 or 211. See http://www.stonybrook.edu/commcms/llrc/placement_challenge_exams/placement_exam.html for more information.,,3
CHI: Chinese Language,CHI 212, Intermediate Chinese II,Prerequisite: C or better in CHI 211 or equivalent or placement into 212. See http://www.stonybrook.edu/commcms/llrc/placement_challenge_exams/placement_exam.html for more information.,,3
CHI: Chinese Language,CHI 220, Intermediate Chinese for Heritage Speakers,Prerequisite: CHI 120 or equivalent,,3
CHI: Chinese Language,CHI 311, Advanced Chinese I,Prerequisite: C or better in CHI 212 or CHI 201 or CHI 220 or equivalent or placement into CHI 311. See http://www.stonybrook.edu/commcms/llrc/placement_challenge_exams/placement_exam.htm for more information.,,3
CHI: Chinese Language,CHI 312, Advanced Chinese II,Prerequisite: C or better in CHI 311 or equivalent or placement into CHI 312. See,,3
CHI: Chinese Language,CHI 320, Advanced Chinese for Heritage Speakers,Prerequisite: CHI 220 or equivalent,,3
CHI: Chinese Language,CHI 410, Business Chinese,No prerequisite,,3
CHI: Chinese Language,CHI 411, Readings in Journalistic Chinese,No prerequisite,,3
CHI: Chinese Language,CHI 412, Readings in Classical Chinese,No prerequisite,,3
CHI: Chinese Language,CHI 421, Chinese Poetry and Short Stories,Prerequisite: Advanced level proficiency in Chinese,,3
CHI: Chinese Language,CHI 422, Chinese Lyric Prose and Plays,Prerequisite: Advanced level proficiency in Chinese,,3
CHI: Chinese Language,CHI 426, Structure of Mandarin Chinese,No prerequisite,,3
CHI: Chinese Language,CHI 444, Experiential Learning,Prerequisite: WRT 102 or equivalent; permission of the instructor and approval of the EXP+ contract (http://sb.cc.stonybrook.edu/bulletin/current/policiesandregulations/degree_requirements/EXPplus.php),,0
CHI: Chinese Language,CHI 447, Directed Readings in Chinese,Prerequisite: Permission of department,,1
CHI: Chinese Language,CHI 475, Undergraduate Teaching Practicum I,Prerequisites: Interview; permission of instructor,,3
CHI: Chinese Language,CHI 476, Undergraduate Teaching Practicum II,No prerequisite,,3
CHI: Chinese Language,CHI 487, Supervised Research in Chinese,Prerequisites: Interview; permission of instructor,No fulfillments,0
CCS: Cinema and Cultural Studies,CCS 200, Media History,No prerequisite,,3
CCS: Cinema and Cultural Studies,CCS 202, Film Genres,No prerequisite,,3
CCS: Cinema and Cultural Studies,CCS 203, Cinema History,No prerequisite,,3
CCS: Cinema and Cultural Studies,CCS 204, The Stony Brook Film Festival,No prerequisite,,3
CCS: Cinema and Cultural Studies,CCS 301, Cinema and Media Theory,Prerequisite: CCS 101 or CCS 201,,3
CCS: Cinema and Cultural Studies,CCS 311, Gender and Genre in Film,Prerequisite: U3 or U4 standing and one D.E.C. B or HUM course,,3
CCS: Cinema and Cultural Studies,CCS 312, Cinema and the Ancient World,"Prerequisite: one D.E.C. B or HUM course and one course from the following: CCS 101, CCS 201, CCS 202, CCS 203, CLL 215, CLT 235, HUF 211, HUG 221, HUI 231, HUR 241, THR 117",,3
CCS: Cinema and Cultural Studies,CCS 313, Television Studies,Prerequisite: one D.E.C. B or HUM course,,3
CCS: Cinema and Cultural Studies,CCS 325, Culture in Context,Prerequisite: U3 or U4 standing,,3
CCS: Cinema and Cultural Studies,CCS 381, Topics in Cinema Studies,Prerequisite: U3 or U4 status,,3
CCS: Cinema and Cultural Studies,CCS 382, Topics in Media and Popular Culture,Prerequisite: EGL 220 and U3 or U4 status,No fulfillments,3
CCS: Cinema and Cultural Studies,CCS 383, Topics in Game Studies,Prerequisite: EGL 220 and U3 or U4 status,,3
CCS: Cinema and Cultural Studies,CCS 391, Topics in Contemporary African Cinema and Cultural Studies,"Prerequisite: one D.E.C. B or HUM course and one course from the following: CCS 101, CCS 201, CCS 202, CCS 203, CLL 215, CLT 235, HUF 211, HUG 221, HUI 231, HUR 241, THR 117",,3
CCS: Cinema and Cultural Studies,CCS 392, Topics in American Cinema and Cultural Studies,"Prerequisite: one D.E.C. B or HUM course and one course from the following: CCS 101, CCS 201, CCS 202, CCS 203, CLL 215, CLT 235, HUF 211, HUG 221, HUI 231, HUR 241, THR 117",,3
CCS: Cinema and Cultural Studies,CCS 393, Topics in European Cinema and Cultural Studies,"Prerequisite: one D.E.C. B or HUM course and one course from the following: CCS 101, CCS 201, CCS 202, CCS 203, CLL 215, CLT 235, HUF 211, HUG 221, HUI 231, HUR 241, THR 117",,3
CCS: Cinema and Cultural Studies,CCS 394, Topics in Asian Cinema and Cultural Studies,"Prerequisite: one D.E.C. B or HUM course and one course from the following: CCS 101, CCS 201, CCS 202, CCS 203, CLL 215, CLT 235, HUF 211, HUG 221, HUI 231, HUR 241, THR 117",,3
CCS: Cinema and Cultural Studies,CCS 395, Topics in Digital Technology and Culture,Prerequisite: one D.E.C. B or HUM course,,3
CCS: Cinema and Cultural Studies,CCS 401, Senior Seminar in Cinema & Cultural Studies,Prerequisite: CCS major and U4 standing; CCS 301,,3
CCS: Cinema and Cultural Studies,CCS 444, Experiential Learning,Prerequisite: WRT 102 or equivalent; permission of the instructor and approval of the EXP+ contract (http://sb.cc.stonybrook.edu/bulletin/current/policiesandregulations/degree_requirements/EXPplus.php),,0
CCS: Cinema and Cultural Studies,CCS 458, Speak Effectively Before an Audience,Pre- or corequisite: WRT 102 or equivalent; permission of the instructor,,0
CCS: Cinema and Cultural Studies,CCS 459, Write Effectively in Cinema and Cultural Studies,Prerequisite: WRT 102; permission of the instructor,,0
CCS: Cinema and Cultural Studies,CCS 475, Undergraduate Teaching Practicum,Prerequisites: U3 or U4 standing; permission of instructor and department,,3
CCS: Cinema and Cultural Studies,CCS 476, Undergraduate Teaching Practicum II,Prerequisites: CCS 475; permission of instructor and chairperson,,3
CCS: Cinema and Cultural Studies,CCS 487, Independent Research in Cinema and Cultural Studies,Prerequisites: Permission of instructor and department,No fulfillments,0
CCS: Cinema and Cultural Studies,CCS 488, Internship,Prerequisite: Permission of program advisor,,0
CCS: Cinema and Cultural Studies,CCS 495, Senior Honors Project in Cinema and Cultural Studies,Prerequisites: Permission of instructor and undergraduate program director,No fulfillments,3
CIV: Civil Engineering,CIV 101, Introduction to Civil Engineering,Pre- or co-requisites: AMS 151 or MAT 125 or MAT 131 or MAT 141 or MPE level 6 or greater and PHY 125 or PHY 131 or PHY 141,,3
CIV: Civil Engineering,CIV 203, Autocad Basics,Prerequisite: CIV major,No fulfillments,1
CIV: Civil Engineering,CIV 210, Land Surveying,Prerequisites: PHY 127 or 132; MAT 127 or 132 or 142 or AMS 161; CIV major,No fulfillments,1
CIV: Civil Engineering,CIV 300, Technical Communication,Prerequisites: WRT 102 and CIV major,No fulfillments,1
CIV: Civil Engineering,CIV 305, Transportation Systems Analysis I,Prerequisites: AMS 361 or MAT 303; CIV major; U3 or U4 standing,No fulfillments,3
CIV: Civil Engineering,CIV 306, Transportation Systems Analysis II,Prerequisite: CIV 305,No fulfillments,3
CIV: Civil Engineering,CIV 310, Structural Engineering,Prerequisites: C or better in MEC 363; CIV or MEC or ESG major.,,3
CIV: Civil Engineering,CIV 312, Steel and Reinforced Concrete Design I,Prerequisite: CIV 310 and CIV 340,No fulfillments,3
CIV: Civil Engineering,CIV 320, Water Supply and Wastewater Treatment Design,Prerequisites: CIV 364; CIV major,No fulfillments,3
CIV: Civil Engineering,CIV 330, Introduction to Geotechnical Engineering,Prerequisite: MEC 363; CIV major,No fulfillments,3
CIV: Civil Engineering,CIV 340, Civil Engineering Materials Laboratory,Prerequisite: MEC 363,No fulfillments,2
CIV: Civil Engineering,CIV 341, Geotechnical Engineering Laboratory,Prerequisite: MEC 363,No fulfillments,2
CIV: Civil Engineering,CIV 342, Civil Engineering Hydraulics Laboratory,Prerequisite: CIV 364,No fulfillments,1
CIV: Civil Engineering,CIV 350, Numerical Analysis for Civil Engineers,Prerequisite: MEC 102; MEC 260,No fulfillments,3
CIV: Civil Engineering,CIV 355, Data Analytics for Civil Engineering Systems,Prerequisite: CIV 305,No fulfillments,3
CIV: Civil Engineering,CIV 364, Fluid Mechanics for Civil Engineers,Prerequisites: MEC 262; CIV major,No fulfillments,3
CIV: Civil Engineering,CIV 393, Construction Management,Prerequisites: AMS 361 or MAT 303 or MAT 305,No fulfillments,3
CIV: Civil Engineering,CIV 394, Sustainability of Building and Infrastructure Systems,"Prerequisites: AMS 361, MAT 303 or MAT 308; PHY 132; PHY 134; CIV major or permission of department",No fulfillments,3
CIV: Civil Engineering,CIV 407, Transportation Economics,Prerequisites: CIV 305 and EST 392 or ECO 108,No fulfillments,3
CIV: Civil Engineering,CIV 410, Principles of Foundation Engineering,Prerequisites: CIV 312 and CIV 330,No fulfillments,3
CIV: Civil Engineering,CIV 411, Matrix Structural Analysis,Prerequisite: CIV 310,No fulfillments,3
CIV: Civil Engineering,CIV 412, Steel and Reinforced Concrete Design II,Prerequisite: CIV 312,No fulfillments,3
CIV: Civil Engineering,CIV 414, Advanced Construction Materials,Prerequisite: CIV 340 or MEC 317 or ESM 335,No fulfillments,3
CIV: Civil Engineering,CIV 420, Hydraulics,Prerequisites: CIV 364; CIV major,No fulfillments,3
CIV: Civil Engineering,CIV 422, Introduction to Coastal Engineering,Prerequisite: MEC 364,No fulfillments,3
CIV: Civil Engineering,CIV 423, Coastal Engineering Planning and Design,Prerequisite: CIV 364 or permission of instructor.,No fulfillments,3
CIV: Civil Engineering,CIV 424, Stormwater Management & Design,Pre- or Corequisite: CIV 420,No fulfillments,3
CIV: Civil Engineering,CIV 426, Introduction to Environmental Biotechnology,Prerequisite: CIV 320 or permission of the instructor,No fulfillments,3
CIV: Civil Engineering,CIV 432, Vibration Mechanics,Prerequisites: AMS 361 or MAT 303 or MAT 305; MEC 262; CIV 310,No fulfillments,3
CIV: Civil Engineering,CIV 436, Prestressed Concrete Design,Prerequisite: CIV 312,No fulfillments,3
CIV: Civil Engineering,CIV 440, Senior Design I,Prerequisites: CIV 305 and 312 and 320 and 330 and 340,"CER, ESI, EXP+, SBS+, SPK, STEM+, WRTD",3
CIV: Civil Engineering,CIV 441, Senior Design II,Prerequisite: CIV 440,"CER, ESI, EXP+, SBS+, SPK, STEM+, WRTD",3
CIV: Civil Engineering,CIV 475, Undergraduate Teaching Practicum,Prerequisites: U4 standing; a minimum g.p.a. of 3.00 in all Stony Brook courses; grade of A- or better in the course in which the student is to assist and permission of department.,,0
CIV: Civil Engineering,CIV 476, Instructional Laboratory Development Practicum,Prerequisites: U4 standing; a minimum g.p.a. of 3.00 in all Stony Brook courses; grade of A- or better in the course in which the student is to assist and permission of department.,,0
CIV: Civil Engineering,CIV 488, Civil Engineering Internship,Prerequisite: Permission of undergraduate program director,,0
CIV: Civil Engineering,CIV 491, Topics in Civil Engineering,Prerequisite: U3 or U4 standing in a B.E. degree major; permission of department (course prerequisites vary with topic),No fulfillments,1
CIV: Civil Engineering,CIV 499, Independent Research,Prerequisite: Permission of department,No fulfillments,0
CLS: Classics,CLS 113, Greek and Latin Literature in Translation,No prerequisite,,3
CLS: Classics,CLS 225, The Classical Tradition,No prerequisite,,3
CLS: Classics,CLS 325, The Latin and Greek Origins of Medicine,Prerequisite: one D.E.C. G or HUM course,,3
CLS: Classics,CLS 444, Experiential Learning,Prerequisite: WRT 102 or equivalent; permission of the instructor and approval of the EXP+ contract (http://sb.cc.stonybrook.edu/bulletin/current/policiesandregulations/degree_requirements/EXPplus.php),,0
CLS: Classics,CLS 447, Directed Readings in Classics,Prerequisite: Permission of instructor,No fulfillments,1
CLS: Classics,CLS 475, Undergraduate Teaching Practicum,No prerequisite,,3
CLL: Classics of Literature,CLL 215, Classical Mythology,No prerequisite,,3
CLL: Classics of Literature,CLL 315," Gender, Sexuality, Race & Ethnicity in Ancient Greek and Roman Literature",Prerequisite: one D.E.C. G or HUM course; U3 or U4 standing,,3
CLL: Classics of Literature,CLL 444, Experiential Learning,Prerequisite: WRT 102 or equivalent; permission of the instructor and approval of the EXP+ contract (http://sb.cc.stonybrook.edu/bulletin/current/policiesandregulations/degree_requirements/EXPplus.php),,0
COM: Communication,COM 106, Introduction to Mass Media,No prerequisite,,3
COM: Communication,COM 120, Fundamentals of Public Speaking,No prerequisite,,3
COM: Communication,COM 206, Interpersonal Communication,No prerequisite,No fulfillments,3
COM: Communication,COM 207, Media Writing,No prerequisite,No fulfillments,3
COM: Communication,COM 208, History of Mass Communication,No prerequisite,,3
COM: Communication,COM 305, Mass Communication Law & Ethics,Prerequisite JRN Maj/Min or COM Maj/Min; and U3 or U4 status,,3
COM: Communication,COM 306, Modes of Media Criticism,Prerequisite JRN Maj/Min or COM Maj/Min; and U3 or U4 status,No fulfillments,3
COM: Communication,COM 307, Critical Media Theory,"Prerequisite: U3 or U4 status; one course that meets the HUM, ARTS, or LANG SBC requirements",,3
COM: Communication,COM 316, Mass Communication Research Methods,Prerequisite: U3 or U4 status; C or higher in COM 106 or COM 208; completion of the SBC QPS requirement,,3
COM: Communication,COM 317, Mass Communication Theory,Prerequisite JRN Maj/Min or COM Maj/Min; and U3 or U4 status,No fulfillments,3
COM: Communication,COM 346," Race, Class, and Gender in Media",Prerequisite JRN Maj/Min or COM Maj/Min; and U3 or U4 status,No fulfillments,3
COM: Communication,COM 351, Team Collaboration,No prerequisite,,3
COM: Communication,COM 365, Talking Science,Prerequisite: U3 or U4 standing,,3
COM: Communication,COM 399, Topics in Mass Communication,Prerequisite: U3 or U4 status,No fulfillments,3
COM: Communication,COM 415, Data Analysis and Storytelling,Prerequisite JRN Maj/Min or COM Maj/Min; and U3 or U4 status,,3
COM: Communication,COM 436, Environmental Communication,Prerequisite: U3 or U4 status,No fulfillments,3
COM: Communication,COM 487, Independent Study,Prerequisite: Permission of director of undergraduate studies,No fulfillments,0
COM: Communication,COM 491, Mass Communication Senior Project,PQ COM491- Grade of C or higher in COM306 and COM307 or COM316 and COM317,,3
COM: Communication,COM 494, Mass Communication Internship,Prerequisite: U3 or U4 standing and permission of director of undergraduate studies,,0
CLT: Comparative Literature,CLT 101, Introduction to World Literatures,No prerequisite,,3
CLT: Comparative Literature,CLT 109, Philosophy and Literature in Social Context (III),No prerequisite,,3
CLT: Comparative Literature,CLT 121, Death and Afterlife in Literature,No prerequisite,,3
CLT: Comparative Literature,CLT 122, Images of Women in Literature,No prerequisite,,3
CLT: Comparative Literature,CLT 123, Sexuality in Literature,No prerequisite,,3
CLT: Comparative Literature,CLT 220, Literature Beyond European Traditions,No prerequisite,,3
CLT: Comparative Literature,CLT 221, Cross-Cultural Encounters,Prerequisite: one D.E.C. B or HUM course,,3
CLT: Comparative Literature,CLT 235, American Pluralism in Film and Literature,No prerequisite,,3
CLT: Comparative Literature,CLT 266, The 20th-Century Novel,Prerequisite: WRT 102 or equivalent,,3
CLT: Comparative Literature,CLT 301, Theory of Literature,Prerequisite: U3 or U4 standing,,3
CLT: Comparative Literature,CLT 330, Literary Genres,Prerequisite: U3 or U4 standing,,3
CLT: Comparative Literature,CLT 334, Other Literary Genres,Prerequisite: U3 or U4 standing,,3
CLT: Comparative Literature,CLT 335, Interdisciplinary Study of Film,"Prerequisite: one D.E.C. B or HUM course and one course from the following: CCS 101, CCS 201, CCS 202, CCS 203, CLL 215, CLT 235, HUF 211, HUG 221, HUI 231, HUR 241, THR 117",,3
CLT: Comparative Literature,CLT 361, Literature and Society,Prerequisite: U3 or U4 standing,,3
CLT: Comparative Literature,CLT 362, Literature and Ideas,Prerequisite: U3 or U4 standing,,3
CLT: Comparative Literature,CLT 371, Literature and Justice (III),Prerequisite: one D.E.C. B or HUM course; U3 or U4 status,,3
CLT: Comparative Literature,CLT 393, European Comparative Literature,"Prerequisite: one D.E.C. B or HUM course and one lower-division course from one of the following subject designators: CLT, CCS, or EGL",,3
CLT: Comparative Literature,CLT 394, Asian Comparative Literature,"Prerequisite: one D.E.C. B or HUM course and one lower-division course from one of the following subject designators: CLT, CCS, or EGL",,3
CLT: Comparative Literature,CLT 444, Experiential Learning,Prerequisite: WRT 102 or equivalent; permission of the instructor and approval of the EXP+ contract (http://sb.cc.stonybrook.edu/bulletin/current/policiesandregulations/degree_requirements/EXPplus.php),,0
CLT: Comparative Literature,CLT 458, Speak Effectively Before an Audience,Pre- or corequisite: WRT 102 or equivalent; permission of the instructor,,0
CLT: Comparative Literature,CLT 459, Write Effectively in Comparative Literature,Prerequisite: WRT 102; permission of the instructor,,0
CLT: Comparative Literature,CLT 475, Undergraduate Teaching Practicum I,Prerequisites: U4 standing; permission of instructor and chairperson,,3
CLT: Comparative Literature,CLT 476, Undergraduate Teaching Practicum II,Prerequisites: CLT 475; permission of instructor and chairperson,,3
CLT: Comparative Literature,CLT 487, Independent Reading and Research,Prerequisites: Permission of instructor and department,,0
CLT: Comparative Literature,CLT 495, Comparative Literature Honors Project,Prerequisites: Permission of instructor and department,,3
CSE: Computer Science,CSE 101, Computer Science Principles,Prerequisite: Level 3 or higher on the mathematics placement examination,,3
CSE: Computer Science,CSE 102, Introduction to Web Design and Programming,No prerequisite,,3
CSE: Computer Science,CSE 110, Introduction to Computer Science,Prerequisite: Level 3 or higher on the mathematics placement examination,,3
CSE: Computer Science,CSE 114, Introduction to Object-Oriented Programming,Prerequisite: Level 5 or higher on the math placement exam,,4
CSE: Computer Science,CSE 130, Introduction to Programming in C,Prerequisite: Level 3 or higher on the mathematics placement examination,No fulfillments,3
CSE: Computer Science,CSE 150, Foundations of Computer Science,Prerequisite: one MAT course that satisfies D.E.C. C or QPS or score of level 4 on the math placement exam; admission to Honors in Computer Science or the Honors College or the WISE Honors Program or University Scholars.,No fulfillments,4
CSE: Computer Science,CSE 160, Computer Science A,Prerequisite: Honors in Computer Science or the Honors College or the WISE Honors Program or University Scholars.,,3
CSE: Computer Science,CSE 161, Laboratory for Computer Science A,No prerequisite,No fulfillments,1
CSE: Computer Science,CSE 190, Special Topics in Practice and Applications of Computer Science,No prerequisite,,3
CSE: Computer Science,CSE 191, Special Topics in Practice and Applications for Computer Science,No prerequisite,,3
CSE: Computer Science,CSE 192, Special Topics in Practice and Applications for Computer Science,No prerequisite,,3
CSE: Computer Science,CSE 214, Data Structures,Prerequisite: C or higher in CSE 114,No fulfillments,4
CSE: Computer Science,CSE 215, Foundations of Computer Science,Prerequisite: AMS 151 or MAT 125 or MAT 131,No fulfillments,4
CSE: Computer Science,CSE 216, Programming Abstractions,Prerequisites: C or higher in CSE 214; CSE major,No fulfillments,4
CSE: Computer Science,CSE 220, Systems Fundamentals I,Prerequisites: C or higher in CSE 214 or co-requisite CSE 260 and CSE major,No fulfillments,4
CSE: Computer Science,CSE 230, Intermediate Programming in C and C++,Prerequisite: CSE 130 or CSE 220 or ESE 124 or ESG 111 or BME 120 or MEC 102,No fulfillments,3
CSE: Computer Science,CSE 260, Computer Science B,Prerequisite: CSE 160,No fulfillments,3
CSE: Computer Science,CSE 261, Laboratory for Computer Science B,No prerequisite,No fulfillments,1
CSE: Computer Science,CSE 300, Technical Communications,"Prerequisites: WRT 102, CSE or ISE major, U3 or U4 standing",,3
CSE: Computer Science,CSE 301, History of Computing,Prerequisite: U2 standing or higher,,3
CSE: Computer Science,CSE 303, Introduction to the Theory of Computation,Prerequisites: C or higher: CSE 160 or CSE 214; CSE 150 or CSE 215; CSE major,No fulfillments,3
CSE: Computer Science,CSE 304, Compiler Design,Prerequisites: C or higher: CSE 216 or CSE 260; CSE 220,No fulfillments,3
CSE: Computer Science,CSE 305, Principles of Database Systems,Prerequisites: C or higher: CSE 216 or CSE 260; CSE major,"ESI, EXP+, SBS+, STEM+",3
CSE: Computer Science,CSE 306, Operating Systems,Prerequisites: C or higher: CSE 216 or CSE 260; CSE 320 or ESE 380; CSE Major or ECE major.,"ESI, EXP+, SBS+, STEM+",3
CSE: Computer Science,CSE 307, Principles of Programming Languages,Prerequisites: C or higher: CSE 216 or CSE 260; CSE 220; CSE major.,No fulfillments,3
CSE: Computer Science,CSE 310, Computer Networks,Prerequisites: C or higher: CSE 214 or 260; CSE 220 or ISE 218; CSE major or ISE major.,No fulfillments,3
CSE: Computer Science,CSE 311, Systems Administration,Prerequisites: CSE 214 or CSE 230 or CSE 260 or ISE 208; ISE or CSE major,No fulfillments,3
CSE: Computer Science,CSE 312," Social, Legal, and Ethical Issues in Computing",Prerequisites: CSE or ISE major; U3 or U4 standing; one D.E.C. E or SNW course,,3
CSE: Computer Science,CSE 316, Fundamentals of Software Development,Prerequisites: C or higher in CSE 216 or CSE 260; CSE major,"ESI, EXP+, SBS+, STEM+",3
CSE: Computer Science,CSE 320, Systems Fundamentals II,Prerequisite: C or higher: CSE 220 and CSE major.,No fulfillments,3
CSE: Computer Science,CSE 323, Human-Computer Interaction,Prerequisites: CSE 214 or CSE 230 or CSE 260 or ISE 208,No fulfillments,3
CSE: Computer Science,CSE 325, Computers and Sculpture,Prerequisite: CSE 110 or CSE 101 or CSE 114,No fulfillments,3
CSE: Computer Science,CSE 327, Fundamentals of Computer Vision,Prerequisites: CSE 214 or CSE 230 or CSE 260; AMS 210 or MAT 211; CSE or ISE major,No fulfillments,3
CSE: Computer Science,CSE 328, Fundamentals of Computer Graphics,Prerequisites: C or higher: CSE 216 or CSE 260; CSE 220; CSE major,No fulfillments,3
CSE: Computer Science,CSE 331, Computer Security Fundamentals,Prerequisite: CSE 220; CSE major,No fulfillments,3
CSE: Computer Science,CSE 332, Introduction to Visualization,Prerequisites: CSE 214 or CSE 260; MAT 211 or AMS 210; AMS 110 or AMS 310; CSE or ISE major,No fulfillments,3
CSE: Computer Science,CSE 333, User Interface Development,Prerequisite: CSE 214 or CSE 260; CSE or ISE major,No fulfillments,3
CSE: Computer Science,CSE 334, Introduction to Multimedia Systems,"Prerequisite: U2, U3 or U4 standing; CSE or ISE major",No fulfillments,3
CSE: Computer Science,CSE 336, Internet Programming,Prerequisites: C or higher in CSE 216 or CSE 260; CSE major,No fulfillments,3
CSE: Computer Science,CSE 337, Scripting Languages,Prerequisites: CSE 214 or CSE 260; CSE or ISE major; U3 or U4 standing,No fulfillments,3
CSE: Computer Science,CSE 350, Theory of Computation,Prerequisites: CSE 150 or CSE 215; AMS 210 or MAT 211; Honors in Computer Science or the Honors College or the WISE Honors Program or University Scholars.,No fulfillments,4
CSE: Computer Science,CSE 351, Introduction to Data Science,Prerequisites: CSE 214 or CSE 260; AMS 310; CSE major,No fulfillments,3
CSE: Computer Science,CSE 352, Artificial Intelligence,Prerequisites: C or higher in CSE 216 or CSE 260; CSE major,No fulfillments,3
CSE: Computer Science,CSE 353, Machine Learning,Prerequisites: CSE 216 or CSE 260; CSE major,No fulfillments,3
CSE: Computer Science,CSE 354, Natural Language Processing,Prerequisites: CSE 216 or CSE 260; CSE major,No fulfillments,3
CSE: Computer Science,CSE 355, Computational Geometry,Prerequisites: AMS 301; programming knowledge of C or C++ or Java,No fulfillments,3
CSE: Computer Science,CSE 356, Cloud Computing,Prerequisites: C or higher: CSE 316; CSE 320; CSE major,No fulfillments,3
CSE: Computer Science,CSE 357, Statistical Methods for Data Science,Prerequisite: C or higher in CSE 216 or CSE 260; AMS 310; CSE major,No fulfillments,3
CSE: Computer Science,CSE 360, Software Security,Prerequisites: CSE 220; CSE major,No fulfillments,3
CSE: Computer Science,CSE 361, Web Security,Prerequisites: CSE 220; CSE major,No fulfillments,3
CSE: Computer Science,CSE 362, Mobile Security,Prerequisites: CSE 220; CSE major,No fulfillments,3
CSE: Computer Science,CSE 363, Offensive Security,Prerequisites: CSE 220; CSE major,No fulfillments,3
CSE: Computer Science,CSE 364, Advanced Multimedia Techniques,Prerequisites: CSE/ISE 334,No fulfillments,3
CSE: Computer Science,CSE 366, Introduction to Virtual Reality,Prerequisites: CSE 328 or CSE/ISE 332; CSE major,No fulfillments,3
CSE: Computer Science,CSE 370, Wireless and Mobile Networking,Prerequisite: CSE 310; CSE major,No fulfillments,3
CSE: Computer Science,CSE 371, Logic,Prerequisite: CSE 150 or CSE 215 or MAT 200 or MAT 250,No fulfillments,3
CSE: Computer Science,CSE 373, Analysis of Algorithms,Prerequisites: C or higher in: CSE 150 or CSE 215 or MAT 200 or MAT 250; MAT 211 or AMS 210; CSE 214 or CSE 260; CSE or MAT major,No fulfillments,3
CSE: Computer Science,CSE 376, Advanced Systems Programming in UNIX/C,Prerequisites: C or higher: CSE 216 or 260; CSE 320; CSE major,No fulfillments,3
CSE: Computer Science,CSE 377, Introduction to Medical Imaging,Prerequisites: AMS 161 or MAT 127 or 132 or 142; AMS 210 or MAT 211,No fulfillments,3
CSE: Computer Science,CSE 378, Introduction to Robotics,Prerequisites: AMS 161 or MAT 127 or 132 or 142; AMS 210 or MAT 211 or MEC 262,No fulfillments,3
CSE: Computer Science,CSE 380, 2D Game Programming,Prerequisite: CSE 216 or CSE 220 or CSE 260; CSE major,No fulfillments,3
CSE: Computer Science,CSE 381, 3D Game Programming,Prerequisite: CSE 216 or CSE 220 or CSE 260; CSE major,No fulfillments,3
CSE: Computer Science,CSE 385, Analysis of Algorithms,Prerequisites: CSE 150 or CSE 215 or MAT 200 or MAT 250; AMS 210 or MAT 211; CSE 214 or CSE 260; Honors in Computer Science or the Honors College or the WISE Honors Program or University Scholars or Simons STEM Scholars.,No fulfillments,4
CSE: Computer Science,CSE 390, Special Topics in Computer Science,Prerequisite: CSE 214 or CSE 260; CSE or ISE Major,No fulfillments,3
CSE: Computer Science,CSE 391, Special Topics in Computer Science,Prerequisite: CSE 214 or CSE 260; CSE or ISE Major,No fulfillments,3
CSE: Computer Science,CSE 392, Special Topics in Computer Science,Prerequisite: CSE 214 or CSE 260; CSE or ISE Major,No fulfillments,3
CSE: Computer Science,CSE 393, Special Topics in Computer Science,Prerequisite: CSE 214 or CSE 260; CSE or ISE Major,No fulfillments,3
CSE: Computer Science,CSE 394, Special Topics in Computer Science,Prerequisite: CSE 214 or CSE 260; CSE or ISE Major,No fulfillments,3
CSE: Computer Science,CSE 416, Software Engineering,Prerequisites: C or higher in CSE 316; U4 standing; CSE major.,"ESI, EXP+, SBS+, STEM+",3
CSE: Computer Science,CSE 475, Undergraduate Teaching Practicum,Prerequisites: U3 or U4 standing as an undergraduate CEAS major; a minimum g.p.a. of 3.00 in all Stony Brook courses; grade of B or better in the course in which the student is to assist and permission of department.,,3
CSE: Computer Science,CSE 487, Research in Computer Science,Prerequisites: Permission of instructor and department,No fulfillments,0
CSE: Computer Science,CSE 488, Internship in Computer Science,"Prerequisites: CSE major, U3 or U4 standing; permission of department",,3
CSE: Computer Science,CSE 495, Senior Honors Research Project I,Prerequisite: Admission to Honors in Computer Science,No fulfillments,3
CSE: Computer Science,CSE 496, Senior Honors Research Project II,Prerequisite: CSE 495,No fulfillments,3
